t,year,mo,yrmo,M1,M2,M3,M4,S1,S2,S3,S4,C1,C2,C3,C4,C2sur,C3sur,C4sur,Seg1in,Seg2in,Seg3in,Seg4in,Seg12,Seg23,Seg34,outflow,S1set,S2set,S3set,S4set,S1res,S2res,S3res,S4res,S1Bur,S2Bur,S3Bur,S4Bur,Temp
1,1989,1,1/1989,1313.12304567865,808.055537317478,1784.72994747842,5002.27292512296,1199080.91006816,1132117.00971966,1482931.49177197,755125.094677593,67.96946203207362,14.966519340668073,20.15951971090809,115.88690117645945,14.966519340668073,20.15951971090809,115.88690117645945,1661.019037893832,118.23183979574407,100.20529455440715,5655.1573445972745,450.4405299721692,110.90831663370216,160.06148489623314,5668.273663316077,809.7820834434839,256.3446388813257,502.176681101754,1190.213485780609,0.0036665376465735647,0.003461776100019363,0.004534493124039773,0.0023090139825096873,1001.0180443321022,945.1151673828772,1237.9824991857167,630.3943621763523,6.751811907
2,1989,2,2/1989,1499.376128122218,946.9089994622024,1318.3046206498273,4232.3628453070605,1199066.8624987586,1131518.7674393489,1482243.5414393602,755922.8346170002,74.43101884915482,17.25087001268342,14.69169509508798,97.10007721070353,17.25087001268342,14.69169509508798,97.10007721070353,5184.675182457852,912.386691358229,827.6523109409824,34383.50698058912,587.1168896856838,-339.96464740172485,-6651.278687653282,11918.199844190185,1103.402485217611,364.6958991365501,451.75075527939885,1227.1112313248107,0.004393760903751833,0.004146243281109456,0.005431409978792291,0.002769940777174031,1001.0063171247623,944.6157421043613,1237.4081837323022,631.0603323100821,8.774993254
3,1989,3,3/1989,3434.4821252636048,3298.4762953668446,8853.401356685483,7180.190599020604,1200273.7372412,1131528.763624024,1483298.6784968104,757823.594223122,49.433531155047476,34.36458693790843,60.828517164407096,114.12157833770189,32.41230006366086,45.32004343995926,105.93590864562691,7355.776766761941,951.3444444535193,863.9365582383774,56103.68892652642,5253.213937590401,4856.812725477943,11226.11186164201,64750.3646373158,1738.7543371160127,1111.3074587637711,2841.6265532701277,2035.0938487408473,0.004355261470102335,0.004105816426385677,0.005382233554455148,0.0027498059806262145,1002.0138416248094,944.6240871302477,1238.2890344112534,632.6471265353003,8.665342925
4,1989,4,4/1989,3452.1651290320133,3275.947257828679,4400.601790855681,6595.707672049604,1201338.165009985,1131996.5097534829,1484559.8843420153,759771.3099094273,84.55472914089025,44.29845968512514,38.170427324149905,125.48363351329732,41.971171203234604,28.641127093378493,116.58245478255324,4645.100075621275,476.6573835581236,427.1870819521184,18577.86256986355,3869.991931593326,2870.03469477175,3393.4800815021367,30131.217942853138,3776.51113127622,2099.440513726896,2617.6966116891344,3401.756061848678,0.007283710354524031,0.006863292068397724,0.00900088294572999,0.004606491592657915,1002.9024483856172,945.0145714685633,1239.3419156622738,634.273120687029,14.40528343
5,1989,5,5/1989,2090.5522515609428,2124.0412567087214,2294.6659471975263,3930.6795487228464,1203511.7038612843,1133186.841543521,1485729.6341110654,762208.2537469375,82.97792993619629,35.3910121868588,23.759686109873083,85.45685697092104,33.67529824074582,17.942198849593005,79.49755659817957,5559.8958759581965,396.5525150276232,353.8850252560287,29953.984892974146,3435.3246949062664,1887.4938949504397,1592.0753032975422,21340.04798360431,3758.8956043988096,2070.8233752148717,1993.013216305909,2944.6060458718716,0.01021808093368245,0.009621007276228593,0.012614173670443228,0.006471316897143071,1004.7169644803515,946.0082855628879,1240.318447451197,636.3075328220974,18.17001903
2,1989,6,6/1989,2537.976928202719,3629.6544054756278,4078.0710850559362,5464.573184355725,1203629.7070129707,1132384.0459803622,1483478.6915480127,764255.531295437,121.81855832738911,65.23719928352418,44.94716830821915,124.36998143702633,62.20128975785594,34.067868169441944,115.7817246949948,3647.8628023786487,285.5245393443765,250.95868715187524,19391.908008153834,1742.8861261674433,1080.0227883271527,841.4252259475372,16866.8445580572,7138.749580826833,5410.3611610554435,5421.729311132732,6152.631660921446,5630.856342673689,5297.55276934379,6940.054196779953,3575.3629880888166,1004.8154760012459,945.3380948877765,1238.4393131046725,638.0166433171411,22.49372094
3,1989,7,7/1989,2403.275422977844,3391.755150000971,4279.218935017562,5212.016800740524,1204734.8753909327,1132599.7960898082,1482455.3151474763,767890.3222510911,112.96230099280584,60.44566405402552,46.835877067039384,118.02442293341817,55.29266519097286,35.719937998391636,83.74467467013459,4464.156338199416,391.91463033077486,350.3450648100426,13513.219285039188,2433.896914810678,1549.0758977715384,1392.3092355085396,11823.102326947004,8491.976358896434,6394.439224748537,7209.753849441493,7437.1592637489985,6984.3542170563605,6566.1568562876555,8594.416284817898,4451.782811310106,1005.7380938822213,945.5182076314693,1237.5849768922628,641.0510435010103,24.89195221
4,1989,8,8/1989,2285.9584856540587,3310.5528647297833,4228.7705425550075,4661.047359169262,1205972.505023481,1132939.6286965013,1481762.0201529348,771841.1493839822,106.14988737589876,58.70731124809134,46.09520451192361,105.23717545817911,53.6886948189276,35.14644549719986,74.64975640577376,3201.053770360955,248.6377238753144,218.27929209036074,18582.635743638344,1221.8638915466076,840.1762368432716,800.552536056581,11763.143959815246,8676.249102894224,6728.114218455494,7690.50576649735,7177.899662729205,7490.621744782793,7036.994776323628,9203.62509304036,4794.114354191873,1006.771293213458,945.8019070620047,1237.006199602295,644.3492773540003,25.66290439
2,1989,9,9/1989,675.2366420284627,428.9714410956016,503.0980131790159,4109.681256989408,1209243.641333874,1135321.5099351625,1484478.0488679847,779898.033902685,32.185933421643405,7.688331541770122,5.532157822511789,93.3767859696108,7.035071862252627,4.220668459707859,66.2741620204642,1905.9928693926245,69.8123433435654,56.21776479374817,8262.548710284958,127.70308666117869,40.56460326092572,36.677856232984574,4598.092964864415,2273.69399659676,767.4179974315025,803.1533053557126,5557.239265601876,0.017838985616952276,0.01674847267669694,0.021899294449236426,0.011505199890183311,1009.5021068263502,947.7903517777332,1239.2735976818246,651.0753345504768,24.34720927
3,1989,10,10/1989,480.36835061677596,105.79442964338412,90.88052089841534,2909.4608097344535,1210235.1690926813,1134846.215606969,1483710.631014329,785083.090635424,23.016765152526844,1.9001414487573165,1.0010752801935856,66.18957380926102,1.9001414487573165,1.0010752801935856,66.18957380926102,4099.16163025963,396.5714568573485,354.6385185391671,47890.20961634688,637.9086258690822,61.9131026659541,37.558722981135226,14475.767058908701,649.0635408564352,75.80166023770674,58.08499230167206,1574.8826130647171,0.007807317748402149,0.00732097796121539,0.009571528442439454,0.005064629837260135,1010.3298551206381,947.393566043847,1238.632941065076,655.4039293156643,15.09897498
